epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15344.2,1.01486,0.47282,0.99323,0.8826,0.8307,0.89488,0.60268,1.14305,0.50591,1.04289,0.000590041,0.000590041,0.000590041
43,15819.1,1.00966,0.46925,0.99187,0.88756,0.8239,0.89367,0.60191,1.14231,0.50806,1.04278,0.000580042,0.000580042,0.000580042
44,16286.9,1.00302,0.46504,0.98766,0.88808,0.82523,0.89531,0.60338,1.1424,0.50268,1.03923,0.000570043,0.000570043,0.000570043
45,16711.6,1.00931,0.46622,0.98404,0.88797,0.82756,0.89619,0.603,1.1443,0.50369,1.03544,0.000560044,0.000560044,0.000560044
46,17186.5,1.00194,0.46344,0.98456,0.88554,0.83086,0.8969,0.60311,1.14417,0.50255,1.03749,0.000550045,0.000550045,0.000550045
47,17626.2,0.99492,0.46098,0.98512,0.89017,0.82472,0.89416,0.60188,1.14503,0.50782,1.04065,0.000540046,0.000540046,0.000540046
48,18067.8,0.9951,0.45764,0.97982,0.88905,0.82936,0.8956,0.60244,1.14492,0.50377,1.03557,0.000530047,0.000530047,0.000530047
49,18538.6,0.99541,0.45721,0.97643,0.88865,0.82911,0.89604,0.6025,1.14639,0.50253,1.03222,0.000520048,0.000520048,0.000520048
50,18960.8,0.99348,0.45452,0.97458,0.88792,0.82611,0.89528,0.60205,1.14642,0.5021,1.03141,0.000510049,0.000510049,0.000510049
51,19430.1,0.99551,0.45666,0.97814,0.89356,0.82001,0.89539,0.60233,1.14649,0.50698,1.03212,0.00050005,0.00050005,0.00050005
52,19894.8,0.98572,0.44932,0.97412,0.89219,0.8226,0.89455,0.60242,1.14781,0.50806,1.03318,0.000490051,0.000490051,0.000490051
53,20306.3,0.98794,0.45313,0.97255,0.88874,0.8262,0.89462,0.60161,1.14827,0.50814,1.03279,0.000480052,0.000480052,0.000480052
54,20777.5,0.98034,0.4509,0.97184,0.88654,0.82844,0.8941,0.60165,1.14811,0.50935,1.03186,0.000470053,0.000470053,0.000470053
55,21203,0.98614,0.44972,0.97472,0.88759,0.82728,0.89307,0.60126,1.14944,0.5101,1.032,0.000460054,0.000460054,0.000460054
56,21645,0.97712,0.44485,0.97207,0.88866,0.82689,0.89276,0.6014,1.14972,0.51083,1.03423,0.000450055,0.000450055,0.000450055
57,22110.1,0.97837,0.44752,0.97544,0.89232,0.82555,0.89346,0.60195,1.15059,0.50942,1.03683,0.000440056,0.000440056,0.000440056
58,22529.6,0.96959,0.44215,0.97202,0.89428,0.8227,0.89284,0.60145,1.15128,0.50991,1.03867,0.000430057,0.000430057,0.000430057
59,23003.7,0.96926,0.44026,0.97287,0.88968,0.82379,0.8926,0.60081,1.15173,0.50945,1.04023,0.000420058,0.000420058,0.000420058
60,23433.1,0.96847,0.44072,0.97121,0.88965,0.82273,0.89231,0.60069,1.1528,0.50939,1.04048,0.000410059,0.000410059,0.000410059
61,23888,0.96888,0.43703,0.96705,0.88428,0.8273,0.8933,0.60075,1.15381,0.50914,1.04037,0.00040006,0.00040006,0.00040006
62,24354.1,0.9576,0.4345,0.96811,0.88659,0.8251,0.89224,0.59992,1.15459,0.50917,1.04135,0.000390061,0.000390061,0.000390061
63,24778.9,0.96742,0.43493,0.96894,0.8941,0.81981,0.89222,0.59999,1.15443,0.50876,1.04143,0.000380062,0.000380062,0.000380062
64,25252.4,0.95891,0.43238,0.96596,0.89641,0.81755,0.89238,0.59999,1.15471,0.50848,1.04203,0.000370063,0.000370063,0.000370063
65,25693.4,0.96149,0.43566,0.97117,0.89325,0.81998,0.89211,0.60018,1.15527,0.50912,1.0431,0.000360064,0.000360064,0.000360064
66,26129.3,0.95056,0.42891,0.96544,0.89421,0.81921,0.89216,0.60029,1.15552,0.50915,1.044,0.000350065,0.000350065,0.000350065
67,26594.7,0.95642,0.43175,0.9657,0.89342,0.82008,0.89188,0.60016,1.15567,0.509,1.04398,0.000340066,0.000340066,0.000340066
68,27006.4,0.95402,0.43018,0.96335,0.89377,0.82115,0.89205,0.59974,1.15605,0.50868,1.04383,0.000330067,0.000330067,0.000330067
69,27435.1,0.95876,0.43207,0.96115,0.89049,0.82354,0.89222,0.59922,1.15658,0.50888,1.04341,0.000320068,0.000320068,0.000320068
70,27726.8,0.94373,0.42708,0.96057,0.89317,0.82086,0.89182,0.59938,1.15723,0.50992,1.0432,0.000310069,0.000310069,0.000310069
